t_id,tipo,tiempo_recogida,fecha_hora_recogida
Apple 166.png,Apple,374,2022-09-16 21:00:00
Apple 167.png,Apple,486,2022-09-21 13:00:00
Apple 168.png,Apple,451,2022-09-20 02:00:00
Apple 169.png,Apple,404,2022-09-18 03:00:00
Apple 17.png,Apple,320,2022-09-14 15:00:00
Apple 170.png,Apple,212,2022-09-10 03:00:00
Apple 171.png,Apple,496,2022-09-21 23:00:00
Apple 172.png,Apple,500,2022-09-22 03:00:00
Apple 173.png,Apple,160,2022-09-07 23:00:00
Apple 174.png,Apple,332,2022-09-15 03:00:00
Apple 175.png,Apple,441,2022-09-19 16:00:00
Apple 176.png,Apple,541,2022-09-23 20:00:00
Apple 177.png,Apple,627,2022-09-27 10:00:00
Apple 178.png,Apple,155,2022-09-07 18:00:00
Apple 179.png,Apple,26,2022-09-02 09:00:00
Apple 18.png,Apple,339,2022-09-15 10:00:00
Apple 180.png,Apple,578,2022-09-25 09:00:00
Apple 181.png,Apple,427,2022-09-19 02:00:00
Apple 182.png,Apple,562,2022-09-24 17:00:00
Apple 183.png,Apple,633,2022-09-27 16:00:00
Apple 184.png,Apple,607,2022-09-26 14:00:00
Apple 185.png,Apple,591,2022-09-25 22:00:00
Apple 186.png,Apple,662,2022-09-28 21:00:00
Apple 187.png,Apple,50,2022-09-03 09:00:00
Apple 188.png,Apple,545,2022-09-24 00:00:00
Apple 189.png,Apple,498,2022-09-22 01:00:00
Apple 19.png,Apple,420,2022-09-18 19:00:00
Apple 190.png,Apple,100,2022-09-05 11:00:00
Apple 191.png,Apple,318,2022-09-14 13:00:00
Apple 192.png,Apple,64,2022-09-03 23:00:00
Apple 193.png,Apple,62,2022-09-03 21:00:00
Apple 194.png,Apple,590,2022-09-25 21:00:00
Apple 195.png,Apple,627,2022-09-27 10:00:00
Apple 196.png,Apple,304,2022-09-13 23:00:00
Apple 197.png,Apple,30,2022-09-02 13:00:00
Apple 198.png,Apple,493,2022-09-21 20:00:00
Apple 199.png,Apple,664,2022-09-28 23:00:00
Apple 2.png,Apple,103,2022-09-05 14:00:00
Apple 20.png,Apple,539,2022-09-23 18:00:00
Apple 200.png,Apple,405,2022-09-18 04:00:00
Apple 201.png,Apple,103,2022-09-05 14:00:00
Apple 202.png,Apple,408,2022-09-18 07:00:00
Apple 203.png,Apple,516,2022-09-22 19:00:00
Apple 204.png,Apple,527,2022-09-23 06:00:00
Apple 205.png,Apple,240,2022-09-11 07:00:00
Apple 206.png,Apple,438,2022-09-19 13:00:00
Apple 207.png,Apple,400,2022-09-17 23:00:00
Apple 208.png,Apple,171,2022-09-08 10:00:00
Apple 209.png,Apple,406,2022-09-18 05:00:00
Apple 21.png,Apple,596,2022-09-26 03:00:00
Apple 210.png,Apple,675,2022-09-29 10:00:00
Apple 211.png,Apple,40,2022-09-02 23:00:00
Apple 212.png,Apple,568,2022-09-24 23:00:00
Apple 213.png,Apple,138,2022-09-07 01:00:00
Apple 214.png,Apple,35,2022-09-02 18:00:00
Apple 215.png,Apple,27,2022-09-02 10:00:00
Apple 216.png,Apple,711,2022-09-30 22:00:00
Apple 217.png,Apple,447,2022-09-19 22:00:00
Apple 218.png,Apple,482,2022-09-21 09:00:00
Apple 219.png,Apple,625,2022-09-27 08:00:00
Apple 22.png,Apple,648,2022-09-28 07:00:00
Apple 220.png,Apple,499,2022-09-22 02:00:00
Apple 221.png,Apple,465,2022-09-20 16:00:00
Apple 222.png,Apple,233,2022-09-11 00:00:00
Apple 223.png,Apple,32,2022-09-02 15:00:00
Apple 224.png,Apple,347,2022-09-15 18:00:00
Apple 225.png,Apple,2,2022-09-01 09:00:00
Apple 226.png,Apple,272,2022-09-12 15:00:00
Apple 227.png,Apple,112,2022-09-05 23:00:00
Apple 228.png,Apple,489,2022-09-21 16:00:00
Apple 229.png,Apple,39,2022-09-02 22:00:00
Apple 23.png,Apple,626,2022-09-27 09:00:00
Apple 230.png,Apple,463,2022-09-20 14:00:00
Apple 231.png,Apple,600,2022-09-26 07:00:00
Apple 232.png,Apple,387,2022-09-17 10:00:00
Apple 233.png,Apple,406,2022-09-18 05:00:00
Apple 234.png,Apple,93,2022-09-05 04:00:00
Apple 235.png,Apple,240,2022-09-11 07:00:00
Apple 236.png,Apple,258,2022-09-12 01:00:00
Apple 237.png,Apple,155,2022-09-07 18:00:00
Apple 238.png,Apple,526,2022-09-23 05:00:00
Apple 239.png,Apple,224,2022-09-10 15:00:00
Apple 24.png,Apple,81,2022-09-04 16:00:00
Apple 240.png,Apple,255,2022-09-11 22:00:00
Apple 241.png,Apple,38,2022-09-02 21:00:00
Apple 242.png,Apple,594,2022-09-26 01:00:00
Apple 243.png,Apple,588,2022-09-25 19:00:00
Apple 244.png,Apple,611,2022-09-26 18:00:00
Apple 245.png,Apple,211,2022-09-10 02:00:00
Apple 246.png,Apple,106,2022-09-05 17:00:00
Apple 247.png,Apple,149,2022-09-07 12:00:00
Apple 248.png,Apple,496,2022-09-21 23:00:00
Apple 249.png,Apple,326,2022-09-14 21:00:00
Apple 25.png,Apple,488,2022-09-21 15:00:00
Apple 250.png,Apple,344,2022-09-15 15:00:00
Apple 251.png,Apple,58,2022-09-03 17:00:00
Apple 252.png,Apple,430,2022-09-19 05:00:00
Apple 253.png,Apple,486,2022-09-21 13:00:00
Apple 254.png,Apple,638,2022-09-27 21:00:00
Apple 255.png,Apple,132,2022-09-06 19:00:00
Apple 256.png,Apple,329,2022-09-15 00:00:00
Apple 257.png,Apple,549,2022-09-24 04:00:00
Apple 258.png,Apple,301,2022-09-13 20:00:00
Apple 259.png,Apple,157,2022-09-07 20:00:00
Apple 26.png,Apple,567,2022-09-24 22:00:00
Apple 260.png,Apple,503,2022-09-22 06:00:00
Apple 261.png,Apple,458,2022-09-20 09:00:00
Apple 262.png,Apple,664,2022-09-28 23:00:00
Apple 263.png,Apple,112,2022-09-05 23:00:00
Apple 264.png,Apple,353,2022-09-16 00:00:00
Apple 265.png,Apple,220,2022-09-10 11:00:00
Apple 266.png,Apple,623,2022-09-27 06:00:00
Apple 267.png,Apple,336,2022-09-15 07:00:00
Apple 268.png,Apple,205,2022-09-09 20:00:00
Apple 269.png,Apple,248,2022-09-11 15:00:00
Apple 27.png,Apple,160,2022-09-07 23:00:00
Apple 270.png,Apple,367,2022-09-16 14:00:00
Apple 271.png,Apple,625,2022-09-27 08:00:00
Apple 272.png,Apple,269,2022-09-12 12:00:00
Apple 273.png,Apple,524,2022-09-23 03:00:00
Apple 274.png,Apple,12,2022-09-01 19:00:00
Apple 275.png,Apple,365,2022-09-16 12:00:00
Apple 276.png,Apple,316,2022-09-14 11:00:00
Apple 277.png,Apple,42,2022-09-03 01:00:00
Apple 278.png,Apple,593,2022-09-26 00:00:00
Apple 279.png,Apple,245,2022-09-11 12:00:00
Apple 28.png,Apple,242,2022-09-11 09:00:00
Apple 280.png,Apple,194,2022-09-09 09:00:00
Apple 281.png,Apple,524,2022-09-23 03:00:00
Apple 282.png,Apple,687,2022-09-29 22:00:00
Apple 283.png,Apple,488,2022-09-21 15:00:00
Apple 284.png,Apple,169,2022-09-08 08:00:00
Apple 285.png,Apple,330,2022-09-15 01:00:00
Apple 286.png,Apple,103,2022-09-05 14:00:00
Apple 287.png,Apple,89,2022-09-05 00:00:00
Apple 288.png,Apple,383,2022-09-17 06:00:00
Apple 289.png,Apple,249,2022-09-11 16:00:00
Apple 29.png,Apple,179,2022-09-08 18:00:00
Apple 290.png,Apple,23,2022-09-02 06:00:00
Apple 291.png,Apple,69,2022-09-04 04:00:00
Apple 292.png,Apple,674,2022-09-29 09:00:00
Apple 293.png,Apple,232,2022-09-10 23:00:00
Apple 294.png,Apple,287,2022-09-13 06:00:00
Apple 295.png,Apple,261,2022-09-12 04:00:00
Apple 296.png,Apple,372,2022-09-16 19:00:00
Apple 297.png,Apple,131,2022-09-06 18:00:00
Apple 298.png,Apple,419,2022-09-18 18:00:00
Apple 299.png,Apple,308,2022-09-14 03:00:00
Apple 3.png,Apple,538,2022-09-23 17:00:00
Apple 30.png,Apple,323,2022-09-14 18:00:00
Apple 300.png,Apple,546,2022-09-24 01:00:00
Apple 301.png,Apple,539,2022-09-23 18:00:00
Apple 302.png,Apple,288,2022-09-13 07:00:00
Apple 303.png,Apple,350,2022-09-15 21:00:00
Apple 304.png,Apple,630,2022-09-27 13:00:00
Apple 305.png,Apple,99,2022-09-05 10:00:00
Apple 306.png,Apple,180,2022-09-08 19:00:00
Apple 307.png,Apple,694,2022-09-30 05:00:00
Apple 308.png,Apple,171,2022-09-08 10:00:00
Apple 309.png,Apple,351,2022-09-15 22:00:00
Apple 31.png,Apple,272,2022-09-12 15:00:00
Apple 310.png,Apple,185,2022-09-09 00:00:00
Apple 311.png,Apple,189,2022-09-09 04:00:00
Apple 312.png,Apple,482,2022-09-21 09:00:00
Apple 313.png,Apple,575,2022-09-25 06:00:00
Apple 314.png,Apple,539,2022-09-23 18:00:00
Apple 315.png,Apple,677,2022-09-29 12:00:00
Apple 316.png,Apple,653,2022-09-28 12:00:00
Apple 317.png,Apple,42,2022-09-03 01:00:00
Apple 318.png,Apple,254,2022-09-11 21:00:00
Apple 319.png,Apple,206,2022-09-09 21:00:00
Apple 32.png,Apple,623,2022-09-27 06:00:00
Apple 320.png,Apple,373,2022-09-16 20:00:00
Apple 321.png,Apple,13,2022-09-01 20:00:00
Apple 322.png,Apple,122,2022-09-06 09:00:00
Apple 323.png,Apple,384,2022-09-17 07:00:00
Apple 324.png,Apple,298,2022-09-13 17:00:00
Apple 325.png,Apple,96,2022-09-05 07:00:00
Apple 326.png,Apple,59,2022-09-03 18:00:00
Apple 327.png,Apple,256,2022-09-11 23:00:00
Apple 328.png,Apple,634,2022-09-27 17:00:00
Apple 329.png,Apple,169,2022-09-08 08:00:00
Apple 33.png,Apple,13,2022-09-01 20:00:00
Apple 330.png,Apple,176,2022-09-08 15:00:00
Apple 331.png,Apple,687,2022-09-29 22:00:00
Apple 332.png,Apple,76,2022-09-04 11:00:00
Apple 333.png,Apple,438,2022-09-19 13:00:00
Apple 334.png,Apple,190,2022-09-09 05:00:00
Apple 335.png,Apple,6,2022-09-01 13:00:00
Apple 336.png,Apple,497,2022-09-22 00:00:00
Apple 337.png,Apple,272,2022-09-12 15:00:00
Apple 338.png,Apple,463,2022-09-20 14:00:00
Apple 339.png,Apple,18,2022-09-02 01:00:00
Apple 34.png,Apple,196,2022-09-09 11:00:00
Apple 340.png,Apple,51,2022-09-03 10:00:00
Apple 341.png,Apple,710,2022-09-30 21:00:00
Apple 342.png,Apple,385,2022-09-17 08:00:00
Apple 343.png,Apple,141,2022-09-07 04:00:00
Apple 344.png,Apple,483,2022-09-21 10:00:00
Apple 345.png,Apple,391,2022-09-17 14:00:00
Apple 346.png,Apple,117,2022-09-06 04:00:00
Apple 347.png,Apple,561,2022-09-24 16:00:00
Apple 348.png,Apple,538,2022-09-23 17:00:00
Apple 349.png,Apple,207,2022-09-09 22:00:00
Apple 35.png,Apple,481,2022-09-21 08:00:00
Apple 350.png,Apple,185,2022-09-09 00:00:00
Apple 351.png,Apple,14,2022-09-01 21:00:00
Apple 352.png,Apple,709,2022-09-30 20:00:00
Apple 353.png,Apple,181,2022-09-08 20:00:00
Apple 354.png,Apple,4,2022-09-01 11:00:00
Apple 355.png,Apple,593,2022-09-26 00:00:00
Apple 356.png,Apple,343,2022-09-15 14:00:00
Apple 357.png,Apple,415,2022-09-18 14:00:00
Apple 358.png,Apple,295,2022-09-13 14:00:00
Apple 359.png,Apple,579,2022-09-25 10:00:00
Apple 36.png,Apple,273,2022-09-12 16:00:00
Apple 360.png,Apple,594,2022-09-26 01:00:00
Apple 361.png,Apple,694,2022-09-30 05:00:00
Apple 362.png,Apple,27,2022-09-02 10:00:00
Apple 363.png,Apple,100,2022-09-05 11:00:00
Apple 364.png,Apple,713,2022-10-01 00:00:00
Apple 365.png,Apple,645,2022-09-28 04:00:00
Apple 366.png,Apple,37,2022-09-02 20:00:00
Apple 367.png,Apple,378,2022-09-17 01:00:00
Apple 368.png,Apple,179,2022-09-08 18:00:00
Apple 369.png,Apple,591,2022-09-25 22:00:00
Apple 37.png,Apple,344,2022-09-15 15:00:00
Apple 370.png,Apple,391,2022-09-17 14:00:00
Apple 371.png,Apple,686,2022-09-29 21:00:00
Apple 372.png,Apple,369,2022-09-16 16:00:00
Apple 373.png,Apple,353,2022-09-16 00:00:00
Apple 374.png,Apple,494,2022-09-21 21:00:00
Apple 375.png,Apple,439,2022-09-19 14:00:00
Apple 376.png,Apple,577,2022-09-25 08:00:00
Apple 377.png,Apple,714,2022-10-01 01:00:00
Apple 378.png,Apple,494,2022-09-21 21:00:00
Apple 379.png,Apple,410,2022-09-18 09:00:00
Apple 38.png,Apple,584,2022-09-25 15:00:00
Apple 380.png,Apple,355,2022-09-16 02:00:00
Apple 381.png,Apple,255,2022-09-11 22:00:00
Apple 382.png,Apple,352,2022-09-15 23:00:00
Apple 383.png,Apple,24,2022-09-02 07:00:00
Apple 384.png,Apple,92,2022-09-05 03:00:00
Apple 385.png,Apple,26,2022-09-02 09:00:00
Apple 386.png,Apple,133,2022-09-06 20:00:00
Apple 387.png,Apple,360,2022-09-16 07:00:00
Apple 388.png,Apple,222,2022-09-10 13:00:00
Apple 389.png,Apple,39,2022-09-02 22:00:00
Apple 39.png,Apple,2,2022-09-01 09:00:00
Apple 390.png,Apple,235,2022-09-11 02:00:00
Apple 391.png,Apple,361,2022-09-16 08:00:00
Apple 392.png,Apple,510,2022-09-22 13:00:00
Apple 393.png,Apple,516,2022-09-22 19:00:00
Apple 394.png,Apple,548,2022-09-24 03:00:00
Apple 395.png,Apple,245,2022-09-11 12:00:00
Apple 396.png,Apple,375,2022-09-16 22:00:00
Apple 397.png,Apple,706,2022-09-30 17:00:00
Apple 398.png,Apple,469,2022-09-20 20:00:00
Apple 399.png,Apple,77,2022-09-04 12:00:00
Apple 4.png,Apple,614,2022-09-26 21:00:00
Apple 40.png,Apple,117,2022-09-06 04:00:00
Apple 400.png,Apple,554,2022-09-24 09:00:00
Apple 401.png,Apple,51,2022-09-03 10:00:00
Apple 402.png,Apple,396,2022-09-17 19:00:00
Apple 403.png,Apple,84,2022-09-04 19:00:00
Apple 404.png,Apple,312,2022-09-14 07:00:00
Apple 405.png,Apple,673,2022-09-29 08:00:00
Apple 406.png,Apple,240,2022-09-11 07:00:00
Apple 407.png,Apple,141,2022-09-07 04:00:00
Apple 408.png,Apple,631,2022-09-27 14:00:00
Apple 409.png,Apple,437,2022-09-19 12:00:00
Apple 41.png,Apple,101,2022-09-05 12:00:00
Apple 410.png,Apple,275,2022-09-12 18:00:00
Apple 411.png,Apple,117,2022-09-06 04:00:00
Apple 412.png,Apple,436,2022-09-19 11:00:00
Apple 413.png,Apple,716,2022-10-01 03:00:00
Apple 414.png,Apple,525,2022-09-23 04:00:00
Apple 415.png,Apple,616,2022-09-26 23:00:00
Apple 416.png,Apple,124,2022-09-06 11:00:00
Apple 417.png,Apple,326,2022-09-14 21:00:00
Apple 418.png,Apple,99,2022-09-05 10:00:00
Apple 419.png,Apple,186,2022-09-09 01:00:00
Apple 42.png,Apple,238,2022-09-11 05:00:00
Apple 420.png,Apple,148,2022-09-07 11:00:00
Apple 421.png,Apple,399,2022-09-17 22:00:00
Apple 422.png,Apple,327,2022-09-14 22:00:00
Apple 423.png,Apple,509,2022-09-22 12:00:00
Apple 424.png,Apple,600,2022-09-26 07:00:00
Apple 425.png,Apple,20,2022-09-02 03:00:00
Apple 426.png,Apple,443,2022-09-19 18:00:00
Apple 427.png,Apple,246,2022-09-11 13:00:00
Apple 428.png,Apple,616,2022-09-26 23:00:00
Apple 429.png,Apple,418,2022-09-18 17:00:00
Apple 43.png,Apple,519,2022-09-22 22:00:00
Apple 430.png,Apple,717,2022-10-01 04:00:00
Apple 431.png,Apple,253,2022-09-11 20:00:00
Apple 432.png,Apple,448,2022-09-19 23:00:00
Apple 433.png,Apple,532,2022-09-23 11:00:00
Apple 434.png,Apple,680,2022-09-29 15:00:00
Apple 435.png,Apple,4,2022-09-01 11:00:00
Apple 436.png,Apple,281,2022-09-13 00:00:00
Apple 437.png,Apple,489,2022-09-21 16:00:00
Apple 438.png,Apple,27,2022-09-02 10:00:00
Apple 439.png,Apple,540,2022-09-23 19:00:00
Apple 44.png,Apple,327,2022-09-14 22:00:00
Apple 440.png,Apple,600,2022-09-26 07:00:00
Apple 441.png,Apple,246,2022-09-11 13:00:00
Apple 442.png,Apple,360,2022-09-16 07:00:00
Apple 443.png,Apple,582,2022-09-25 13:00:00
Apple 444.png,Apple,701,2022-09-30 12:00:00
Apple 445.png,Apple,645,2022-09-28 04:00:00
Apple 446.png,Apple,451,2022-09-20 02:00:00
Apple 447.png,Apple,595,2022-09-26 02:00:00
Apple 448.png,Apple,299,2022-09-13 18:00:00
Apple 449.png,Apple,416,2022-09-18 15:00:00
Apple 45.png,Apple,693,2022-09-30 04:00:00
Apple 450.png,Apple,321,2022-09-14 16:00:00
Apple 451.png,Apple,471,2022-09-20 22:00:00
Apple 452.png,Apple,190,2022-09-09 05:00:00
Apple 453.png,Apple,76,2022-09-04 11:00:00
Apple 454.png,Apple,507,2022-09-22 10:00:00
Apple 455.png,Apple,24,2022-09-02 07:00:00
Apple 456.png,Apple,505,2022-09-22 08:00:00
Apple 457.png,Apple,68,2022-09-04 03:00:00
Apple 458.png,Apple,154,2022-09-07 17:00:00
Apple 459.png,Apple,357,2022-09-16 04:00:00
Apple 46.png,Apple,275,2022-09-12 18:00:00
Apple 460.png,Apple,106,2022-09-05 17:00:00
Apple 461.png,Apple,304,2022-09-13 23:00:00
Apple 462.png,Apple,694,2022-09-30 05:00:00
Apple 463.png,Apple,431,2022-09-19 06:00:00
Apple 464.png,Apple,315,2022-09-14 10:00:00
Apple 465.png,Apple,542,2022-09-23 21:00:00
Apple 466.png,Apple,701,2022-09-30 12:00:00
Apple 467.png,Apple,483,2022-09-21 10:00:00
Apple 468.png,Apple,611,2022-09-26 18:00:00
Apple 469.png,Apple,496,2022-09-21 23:00:00
Apple 47.png,Apple,622,2022-09-27 05:00:00
Apple 470.png,Apple,458,2022-09-20 09:00:00
Apple 471.png,Apple,211,2022-09-10 02:00:00
Apple 472.png,Apple,141,2022-09-07 04:00:00
Apple 473.png,Apple,23,2022-09-02 06:00:00
Apple 474.png,Apple,449,2022-09-20 00:00:00
Apple 475.png,Apple,275,2022-09-12 18:00:00
Apple 476.png,Apple,86,2022-09-04 21:00:00
Apple 477.png,Apple,627,2022-09-27 10:00:00
Apple 478.png,Apple,556,2022-09-24 11:00:00
Apple 479.png,Apple,280,2022-09-12 23:00:00
Apple 48.png,Apple,512,2022-09-22 15:00:00
Apple 480.png,Apple,185,2022-09-09 00:00:00
Apple 481.png,Apple,596,2022-09-26 03:00:00
Apple 482.png,Apple,556,2022-09-24 11:00:00
Apple 483.png,Apple,28,2022-09-02 11:00:00
Apple 484.png,Apple,696,2022-09-30 07:00:00
Apple 485.png,Apple,30,2022-09-02 13:00:00
Apple 486.png,Apple,273,2022-09-12 16:00:00
Apple 487.png,Apple,633,2022-09-27 16:00:00
Apple 488.png,Apple,428,2022-09-19 03:00:00
Apple 489.png,Apple,329,2022-09-15 00:00:00
Apple 49.png,Apple,587,2022-09-25 18:00:00
Apple 490.png,Apple,478,2022-09-21 05:00:00
Apple 491.png,Apple,305,2022-09-14 00:00:00
Apple 492.png,Apple,682,2022-09-29 17:00:00
Apple 493.png,Apple,617,2022-09-27 00:00:00
Apple 494.png,Apple,73,2022-09-04 08:00:00
Apple 495.png,Apple,313,2022-09-14 08:00:00
Apple 496.png,Apple,394,2022-09-17 17:00:00
Apple 497.png,Apple,592,2022-09-25 23:00:00
Apple 498.png,Apple,601,2022-09-26 08:00:00
Apple 499.png,Apple,466,2022-09-20 17:00:00
Apple 5.png,Apple,312,2022-09-14 07:00:00
Apple 50.png,Apple,414,2022-09-18 13:00:00
Apple 500.png,Apple,623,2022-09-27 06:00:00
Apple 501.png,Apple,482,2022-09-21 09:00:00
Apple 502.png,Apple,527,2022-09-23 06:00:00
Apple 503.png,Apple,544,2022-09-23 23:00:00
Apple 504.png,Apple,130,2022-09-06 17:00:00
Apple 505.png,Apple,36,2022-09-02 19:00:00
Apple 506.png,Apple,45,2022-09-03 04:00:00
Apple 507.png,Apple,522,2022-09-23 01:00:00
Apple 508.png,Apple,156,2022-09-07 19:00:00
Apple 509.png,Apple,495,2022-09-21 22:00:00
Apple 51.png,Apple,715,2022-10-01 02:00:00
Apple 510.png,Apple,97,2022-09-05 08:00:00
Apple 511.png,Apple,290,2022-09-13 09:00:00
Apple 512.png,Apple,103,2022-09-05 14:00:00
Apple 513.png,Apple,249,2022-09-11 16:00:00
Apple 514.png,Apple,209,2022-09-10 00:00:00
Apple 515.png,Apple,169,2022-09-08 08:00:00
Apple 516.png,Apple,329,2022-09-15 00:00:00
Apple 517.png,Apple,194,2022-09-09 09:00:00
Apple 518.png,Apple,623,2022-09-27 06:00:00
Apple 519.png,Apple,403,2022-09-18 02:00:00
Apple 52.png,Apple,566,2022-09-24 21:00:00
Apple 520.png,Apple,692,2022-09-30 03:00:00
Apple 521.png,Apple,278,2022-09-12 21:00:00
Apple 522.png,Apple,52,2022-09-03 11:00:00
Apple 523.png,Apple,308,2022-09-14 03:00:00
Apple 524.png,Apple,595,2022-09-26 02:00:00
Apple 525.png,Apple,143,2022-09-07 06:00:00
Apple 526.png,Apple,46,2022-09-03 05:00:00
Apple 527.png,Apple,446,2022-09-19 21:00:00
Apple 528.png,Apple,485,2022-09-21 12:00:00
Apple 529.png,Apple,113,2022-09-06 00:00:00
Apple 53.png,Apple,680,2022-09-29 15:00:00
Apple 530.png,Apple,182,2022-09-08 21:00:00
Apple 531.png,Apple,530,2022-09-23 09:00:00
Apple 532.png,Apple,329,2022-09-15 00:00:00
Apple 533.png,Apple,538,2022-09-23 17:00:00
Apple 534.png,Apple,553,2022-09-24 08:00:00
Apple 535.png,Apple,559,2022-09-24 14:00:00
Apple 536.png,Apple,464,2022-09-20 15:00:00
Apple 537.png,Apple,557,2022-09-24 12:00:00
Apple 538.png,Apple,330,2022-09-15 01:00:00
Apple 539.png,Apple,358,2022-09-16 05:00:00
Apple 54.png,Apple,611,2022-09-26 18:00:00
Apple 540.png,Apple,140,2022-09-07 03:00:00
Apple 541.png,Apple,199,2022-09-09 14:00:00
Apple 542.png,Apple,453,2022-09-20 04:00:00
Apple 543.png,Apple,432,2022-09-19 07:00:00
Apple 544.png,Apple,682,2022-09-29 17:00:00
Apple 545.png,Apple,229,2022-09-10 20:00:00
Apple 546.png,Apple,423,2022-09-18 22:00:00
Apple 547.png,Apple,135,2022-09-06 22:00:00
Apple 548.png,Apple,92,2022-09-05 03:00:00
Apple 549.png,Apple,118,2022-09-06 05:00:00
Apple 55.png,Apple,39,2022-09-02 22:00:00
Apple 550.png,Apple,346,2022-09-15 17:00:00
Apple 551.png,Apple,79,2022-09-04 14:00:00
Apple 552.png,Apple,716,2022-10-01 03:00:00
Apple 553.png,Apple,71,2022-09-04 06:00:00
Apple 554.png,Apple,558,2022-09-24 13:00:00
Apple 555.png,Apple,207,2022-09-09 22:00:00
Apple 556.png,Apple,645,2022-09-28 04:00:00
Apple 557.png,Apple,575,2022-09-25 06:00:00
Apple 558.png,Apple,478,2022-09-21 05:00:00
Apple 559.png,Apple,619,2022-09-27 02:00:00
Apple 56.png,Apple,518,2022-09-22 21:00:00
Apple 560.png,Apple,648,2022-09-28 07:00:00
Apple 561.png,Apple,153,2022-09-07 16:00:00
Apple 562.png,Apple,589,2022-09-25 20:00:00
Apple 563.png,Apple,579,2022-09-25 10:00:00
